time,latitude,longitude,depth,mag
2001-09-28T04:37:56.290Z,33.265,75.738,33,4.9
2001-06-17T01:49:45.330Z,32.479,78.31,57.7,4.6
2001-04-25T18:28:52.690Z,32.713,76.798,33,3.9
2001-03-24T14:39:11.500Z,33.443,76.126,33,3.4
2001-02-20T17:33:36.060Z,33.289,75.893,57.4,4.6
2001-02-04T10:14:07.800Z,33.205,75.805,18.2,4.7
2001-01-30T14:50:45.160Z,32.884,76.376,33,3.4
2001-01-25T00:39:19.900Z,33.837,75.766,33,4.4
2001-01-08T09:01:56.870Z,33.515,75.681,58.6,4.2
2000-12-26T05:37:34.680Z,32.538,76.894,33,3.9
2000-10-13T02:38:47.340Z,32.632,76.23,33,4.1
2000-10-12T00:08:00.620Z,32.572,78.17,33,4.7
2000-09-26T19:39:28.410Z,33.377,75.614,33,4.6
2000-07-04T08:10:05.880Z,32.101,78.442,33,4.1
2000-06-18T08:05:23.990Z,32.167,78.49,93.4,3.7
2000-05-28T14:52:01.130Z,33.743,74.711,59.2,4
2000-05-19T09:41:05.830Z,33.406,78.558,33,3.6
2000-04-11T18:12:45.020Z,32.372,79.071,33,3.6
2000-02-22T17:53:45.950Z,33.456,75.604,33,3.3
2000-01-16T12:00:59.110Z,33.53,76.484,33,4
2000-01-08T02:21:16.030Z,34.542,78.468,35.7,4.7
1999-11-29T14:31:19.960Z,33.144,75.569,33,4.7
1999-09-18T16:30:04.740Z,33.182,75.22,33,4.3
1999-05-16T05:41:43.580Z,32.505,78.425,54.8,4.5
1999-02-23T06:56:14.860Z,34.059,74.443,33,4.9
1998-10-17T09:24:45.010Z,32.217,76.545,33,4.5
1998-08-17T17:55:00.760Z,33.223,76.001,33,3.4
1998-07-06T10:24:08.840Z,32.987,75.629,82.8,4.2
1998-06-26T20:47:45.680Z,32.963,77.876,33,3.6
1998-03-20T01:03:41.590Z,32.635,76.191,33,3.8
1998-03-19T23:34:27.380Z,32.543,76.21,69.7,3.5
1998-01-29T10:58:41.230Z,32.875,76.014,90.3,3.3
1997-12-23T04:15:05.200Z,33.84,75.209,33,4.2
1997-05-27T01:27:18.120Z,34.108,77.66,33,4.7
1997-02-01T05:12:59.790Z,34.54,78.708,33,3.5
1997-01-25T07:43:15.520Z,34.918,76.531,100,3.7
1997-01-19T14:38:24.740Z,32.777,76.182,72.2,3.6
1997-01-19T13:59:24.420Z,33.728,74.993,33,3.1
1996-12-23T21:52:18.840Z,32.403,76.892,33,3.8
1996-12-16T18:36:09.570Z,34.973,78.033,33,3.8
1996-10-11T00:05:08.220Z,33.55,76.299,33,4.6
1996-09-14T00:22:57.200Z,32.834,76.371,33,4.6
1996-08-17T15:47:59.140Z,33.592,75.73,33,3.4
1996-07-14T00:40:06.170Z,32.627,76.524,33,4.1
1996-05-23T23:51:13.650Z,32.707,76.492,34.8,4.2
1996-05-16T17:18:44.750Z,33.274,76.404,51.6,3.9
1996-05-15T15:02:04.470Z,33.264,75.978,33,3.4
1996-05-09T08:25:45.050Z,32.844,76.334,59.5,4
1996-02-29T09:01:49.080Z,34.694,77.598,33,3.9
1996-01-17T00:22:18.810Z,33.148,76.176,33,4.1
1995-08-17T17:47:51.850Z,33.849,76.369,33,4.1
1995-06-17T10:06:06.230Z,34.203,76.209,39.6,4.6
1995-03-24T11:52:32.950Z,32.564,75.998,33,4.9
1994-10-02T12:58:49.390Z,34.17,74.598,33,4.5
1994-08-20T21:11:31.710Z,33.822,76.418,33,4.5
1994-07-02T20:34:11.930Z,32.537,76.113,33,3.9
1994-05-13T09:19:53.250Z,32.493,75.53,33,4.4
1993-09-15T15:08:13.480Z,33.322,75.74,33,5
1992-09-06T14:10:55.980Z,32.436,76.338,33,4.6
1992-06-19T14:01:55.590Z,34.669,75.16,33,4.2
1992-02-13T22:43:34.180Z,32.637,76.514,33,4.6
1992-02-05T02:07:40.280Z,34.224,78.729,33,4.3
1992-01-26T23:48:56.100Z,32.282,76.415,33,4.5
1991-06-23T02:45:41.200Z,32.306,76.716,33,4.6
1991-02-25T10:52:33.900Z,34.695,79.059,33,4.6
1991-01-10T01:33:18.100Z,34.331,74.662,33,3.9
1990-12-25T03:56:46.130Z,33.331,75.712,51.1,5.3
1990-12-20T05:46:49.120Z,34.845,75.078,33,4.2
1990-11-12T15:45:20.480Z,33.414,75.715,67.9,4.7
1990-02-07T22:00:52.290Z,34.365,76.647,83.5,4.6
1989-05-10T20:19:21.910Z,33.221,75.519,41.7,4.8
1989-05-10T20:05:27.440Z,33.313,75.447,33,3.9
1988-04-02T22:48:58.900Z,32.129,74.461,33,4
1988-01-20T11:48:34.490Z,34.809,74.977,33,4.6
1987-12-26T01:03:00.230Z,32.126,76.695,33,4.3
1987-02-02T22:17:15.140Z,34.841,75.571,82.2,4.4
1986-09-11T04:22:30.690Z,32.662,78.559,33,4.8
1986-07-30T04:03:24.810Z,33.16,75.793,33,4.6
1986-04-26T07:35:16.100Z,32.128,76.374,33,5.5
1985-12-29T21:31:05.020Z,32.624,76.104,33,4.9
1985-08-10T12:56:12.810Z,33.888,74.744,33,4.7
1985-02-25T18:56:06.520Z,34.231,74.417,33,4.8
1984-05-23T03:14:21.570Z,32.949,75.919,57.6,4.8
1983-10-12T02:44:41.290Z,33.521,75.464,33,4.6
1983-08-09T02:59:39.560Z,34.888,74.858,126.7,4.3
1983-02-27T20:33:06.500Z,32.613,78.553,33,5.3
1982-09-04T12:33:56.630Z,33.012,76.107,33,4.3
